id,state,abbr,college,own,divorced,smokers,obese,income
1,Alabama,AL,20.4,67.7,12.1,21.1,33.5,42830
2,Alaska,AK,24.1,62.5,12.3,19.9,29.7,71583
4,Arizona,AZ,23.9,61.1,11.8,16.5,28.9,50068
5,Arkansas,AR,18.2,65.8,12.6,24.7,35.9,41262
6,California,CA,27.3,53.7,9.6,12.9,24.7,61933
8,Colorado,CO,33.4,63.9,11.7,15.7,21.3,61303
9,Connecticut,CT,32.9,66.4,10.8,15.4,26.3,70048
10,Delaware,DE,26.1,70.3,11.5,19.9,30.7,59716
11,District of Columbia,DC,49.1,40.6,9.1,16.4,21.7,71648
12,Florida,FL,24.1,64.1,12.5,17.7,26.2,47463
13,Georgia,GA,24.7,62.2,11.2,17.4,30.5,49321
15,Hawaii,HI,27.3,56.7,9.7,14.1,22.1,69592
16,Idaho,ID,22.4,68,12.3,15.9,28.9,47861
17,Illinois,IL,28.4,65.5,9.6,16.5,29.3,57444
18,Indiana,IN,20.8,68.6,12.2,22.9,32.7,49446
19,Iowa,IA,23.4,70.9,11,18.5,30.9,53712
20,Kansas,KS,27,66.6,11.5,18.1,31.3,52504
21,Kentucky,KY,19.3,66.1,13.8,26.2,31.6,42958
22,Louisiana,LA,19.8,64.4,11.9,24,34.9,44555
23,Maine,ME,25.6,71.3,13.7,19.3,28.2,49462
24,Maryland,MD,33.3,65.9,9.4,14.6,29.6,73971
25,Massachusetts,MA,35.5,61.6,9.9,14.7,23.3,69160
26,Michigan,MI,23.4,70.2,11.9,21.2,30.7,49847
27,Minnesota,MN,29.6,71.7,10.3,16.3,27.6,61481
28,Mississippi,MS,18.1,67.7,12.5,23,35.5,39680
29,Missouri,MO,23.8,66.9,12.1,20.6,30.2,48363
30,Montana,MT,26.2,66.4,12.7,19.9,26.4,46328
31,Nebraska,NE,25.8,65.9,10.4,17.3,30.2,52686
32,Nevada,NV,19.9,53.6,14,17,27.7,51450
33,New Hampshire,NH,31,70.2,11.7,17.5,27.4,66532
34,New Jersey,NJ,32.5,63.3,8.4,15.1,26.9,71919
35,New Mexico,NM,22.8,66.9,12.6,19.2,28.4,44803
36,New York,NY,30.4,53,9.3,14.4,27,58878
37,North Carolina,NC,24.3,64.2,10.4,19.1,29.7,46556
38,North Dakota,ND,25,63.8,9.1,19.9,32.2,59029
39,Ohio,OH,22.8,65.3,11.5,21,32.6,49308
40,Oklahoma,OK,21,65.1,12.8,21.1,33,47529
41,Oregon,OR,26.8,60.7,12.5,17,27.9,51075
42,Pennsylvania,PA,25.1,68.8,9.6,19.9,30.2,53234
44,Rhode Island,RI,27.9,58.8,11.4,16.3,27,54891
45,South Carolina,SC,22.5,68,10.4,21.5,32.1,45238
46,South Dakota,SD,23.8,68.2,10.7,18.6,29.8,50979
47,Tennessee,TN,21.5,66.1,11.9,24.2,31.2,44361
48,Texas,TX,23.5,61.2,10.1,14.5,31.9,53035
49,Utah,UT,25.8,69.2,9.3,9.7,25.7,60922
50,Vermont,VT,31.5,70,12.5,16.4,24.8,54166
51,Virginia,VA,31.7,65.3,10.3,19.5,28.5,64902
53,Washington,WA,28.7,61.7,11.7,15.3,27.3,61366
54,West Virginia,WV,16.6,72.2,13.5,26.7,35.7,41059
55,Wisconsin,WI,24.3,66.6,10.6,17.4,31.2,52622
56,Wyoming,WY,22.8,66.9,11.9,19.5,29.5,57055
72,Puerto Rico,PR,29.4,67.9,12.7,11.3,28.3,18928
